,delta,alpha,beta
6205,0.6205,0.6108426650657681,0.9955218157333928
6206,0.6206,0.6109550011322794,0.9955283022649174
6207,0.6207,0.6110673241236996,0.9955347804702286
6208,0.6208,0.611179634052192,0.99554125035947
6209,0.6209,0.6112919309299062,0.9955477119427715
6210,0.621,0.6114042147689797,0.9955541652302492
6211,0.6211,0.611516485581537,0.9955606102320059
6212,0.6212,0.6116287433796896,0.9955670469581306
6213,0.6213000000000001,0.6117409881755373,0.995573475418699
6214,0.6214000000000001,0.6118532199811659,0.995579895623773
6215,0.6215,0.6119654388086498,0.9955863075834014
6216,0.6216,0.6120776446700502,0.9955927113076193
6217,0.6217,0.6121898375774155,0.9955991068064483
6218,0.6218,0.6123020175427819,0.9956054940898966
6219,0.6219,0.6124141845781732,0.9956118731679594
6220,0.622,0.6125263386956001,0.9956182440506179
6221,0.6221,0.6126384799070616,0.9956246067478406
6222,0.6222,0.612750608224543,0.9956309612695821
6223,0.6223000000000001,0.6128627236600186,0.9956373076257841
6224,0.6224000000000001,0.612974826225449,0.9956436458263748
6225,0.6225,0.6130869159327828,0.9956499758812691
6226,0.6226,0.6131989927939565,0.995656297800369
6227,0.6227,0.6133110568208938,0.9956626115935631
6228,0.6228,0.6134231080255064,0.9956689172707266
6229,0.6229,0.6135351464196933,0.9956752148417218
6230,0.623,0.613647172015341,0.9956815043163978
6231,0.6231,0.6137591848243245,0.9956877857045905
6232,0.6232,0.6138711848585057,0.9956940590161228
6233,0.6233000000000001,0.6139831721297343,0.9957003242608045
6234,0.6234000000000001,0.6140951466498483,0.9957065814484323
6235,0.6235,0.6142071084306728,0.9957128305887898
6236,0.6236,0.6143190574840212,0.9957190716916478
6237,0.6237,0.6144309938216945,0.9957253047667639
6238,0.6238,0.6145429174554811,0.9957315298238828
6239,0.6239,0.6146548283971579,0.9957377468727363
6240,0.624,0.6147667266584895,0.9957439559230433
6241,0.6241,0.6148786122512283,0.9957501569845097
6242,0.6242,0.6149904851871144,0.9957563500668286
6243,0.6243000000000001,0.6151023454778761,0.9957625351796802
6244,0.6244000000000001,0.6152141931352294,0.9957687123327318
6245,0.6245,0.6153260281708783,0.995774881535638
6246,0.6246,0.6154378505965148,0.9957810427980404
6247,0.6247,0.6155496604238192,0.9957871961295682
6248,0.6248,0.6156614576644593,0.9957933415398376
6249,0.6249,0.6157732423300911,0.9957994790384519
6250,0.625,0.615885014432359,0.9958056086350021
6251,0.6251,0.6159967739828949,0.9958117303390662
6252,0.6252,0.6161085209933191,0.9958178441602097
6253,0.6253000000000001,0.6162202554752401,0.9958239501079853
6254,0.6254000000000001,0.616331977440254,0.9958300481919332
6255,0.6255000000000001,0.6164436868999456,0.9958361384215809
6256,0.6256,0.6165553838658878,0.9958422208064436
6257,0.6257,0.6166670683496416,0.9958482953560235
6258,0.6258,0.6167787403627556,0.9958543620798105
6259,0.6259,0.6168903999167678,0.995860420987282
6260,0.626,0.617002047023203,0.9958664720879028
6261,0.6261,0.6171136816935758,0.9958725153911253
6262,0.6262,0.617225303939388,0.9958785509063895
6263,0.6263000000000001,0.6173369137721297,0.9958845786431229
6264,0.6264000000000001,0.6174485112032799,0.9958905986107404
6265,0.6265000000000001,0.6175600962443052,0.9958966108186447
6266,0.6266,0.6176716689066615,0.9959026152762263
6267,0.6267,0.6177832292017919,0.9959086119928628
6268,0.6268,0.617894777141129,0.9959146009779203
6269,0.6269,0.6180063127360926,0.9959205822407516
6270,0.627,0.6181178359980918,0.995926555790698
6271,0.6271,0.6182293469385244,0.9959325216370882
6272,0.6272,0.6183408455687756,0.9959384797892387
6273,0.6273000000000001,0.6184523319002194,0.9959444302564535
6274,0.6274000000000001,0.618563805944219,0.9959503730480249
6275,0.6275000000000001,0.6186752677121253,0.9959563081732328
6276,0.6276,0.618786717215278,0.9959622356413447
6277,0.6277,0.6188981544650054,0.9959681554616161
6278,0.6278,0.6190095794726242,0.9959740676432906
6279,0.6279,0.6191209922494395,0.9959799721955992
6280,0.628,0.6192323928067457,0.9959858691277613
6281,0.6281,0.6193437811558249,0.995991758448984
6282,0.6282,0.6194551573079485,0.9959976401684624
6283,0.6283000000000001,0.6195665212743763,0.9960035142953794
6284,0.6284000000000001,0.6196778730663568,0.9960093808389062
6285,0.6285000000000001,0.6197892126951268,0.9960152398082017
6286,0.6286,0.6199005401719122,0.996021091212413
6287,0.6287,0.6200118555079277,0.9960269350606753
6288,0.6288,0.6201231587143763,0.9960327713621117
6289,0.6289,0.6202344498024502,0.9960386001258335
6290,0.629,0.6203457287833299,0.99604442136094
6291,0.6291,0.6204569956681855,0.9960502350765188
6292,0.6292,0.6205682504681745,0.9960560412816455
6293,0.6293000000000001,0.6206794931944447,0.996061839985384
6294,0.6294000000000001,0.6207907238581314,0.9960676311967861
6295,0.6295000000000001,0.6209019424703598,0.9960734149248922
6296,0.6296,0.6210131490422435,0.9960791911787307
6297,0.6297,0.621124343584885,0.9960849599673182
6298,0.6298,0.6212355261093757,0.9960907212996596
6299,0.6299,0.6213466966267959,0.9960964751847482
6300,0.63,0.621457855148215,0.9961022216315656
6301,0.6301,0.621569001684691,0.9961079606490814
6302,0.6302,0.6216801362472714,0.9961136922462539
6303,0.6303000000000001,0.621791258846992,0.9961194164320296
6304,0.6304000000000001,0.6219023694948781,0.9961251332153435
6305,0.6305000000000001,0.6220134682019435,0.9961308426051186
6306,0.6306,0.6221245549791921,0.9961365446102671
6307,0.6307,0.6222356298376155,0.9961422392396888
6308,0.6308,0.6223466927881951,0.9961479265022724
6309,0.6309,0.6224577438419014,0.9961536064068949
6310,0.631,0.622568783009694,0.996159278962422
6311,0.6311,0.6226798103025212,0.9961649441777076
6312,0.6312,0.6227908257313206,0.9961706020615945
6313,0.6313000000000001,0.6229018293070198,0.9961762526229138
6314,0.6314000000000001,0.6230128210405336,0.996181895870485
6315,0.6315000000000001,0.6231238009427679,0.9961875318131166
6316,0.6316,0.6232347690246169,0.9961931604596055
6317,0.6317,0.6233457252969643,0.9961987818187371
6318,0.6318,0.6234566697706826,0.9962043958992856
6319,0.6319,0.6235676024566341,0.9962100027100138
6320,0.632,0.6236785233656701,0.9962156022596733
6321,0.6321,0.6237894325086307,0.9962211945570041
6322,0.6322,0.6239003298963465,0.9962267796107352
6323,0.6323000000000001,0.6240112155396362,0.9962323574295843
